epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.47,0.95354,1.63001,1.1796,0.54894,0.66619,0.65945,0.46158,0.93525,2.17988,1.08408,0.000407801,0.000407801,0.000407801
2,292.36,0.98768,1.04626,1.17696,0.73685,0.70944,0.79039,0.52786,1.00296,1.80467,1.22954,0.000808144,0.000808144,0.000808144
3,437.455,1.04745,1.01374,1.23219,0.57353,0.65673,0.67673,0.42201,1.1223,3.79936,1.32348,0.00119199,0.00119199,0.00119199
4,582.057,1.043,0.94567,1.20542,0.71474,0.73134,0.76849,0.49937,1.09055,2.2328,1.2275,0.00117575,0.00117575,0.00117575
5,727.243,1.00348,0.83993,1.16871,0.76837,0.80369,0.84569,0.55427,1.01617,1.47738,1.23132,0.001151,0.001151,0.001151
6,874.201,1.02331,0.84321,1.1848,0.84078,0.80993,0.87432,0.60552,0.95295,0.94801,1.1301,0.00112625,0.00112625,0.00112625
7,1021.23,0.95364,0.77094,1.14897,0.73826,0.83953,0.8587,0.60867,0.86924,0.98,1.056,0.0011015,0.0011015,0.0011015
8,1168.45,0.9704,0.76026,1.14396,0.77548,0.89486,0.90756,0.66094,0.89224,0.93048,1.08385,0.00107675,0.00107675,0.00107675
9,1316.01,0.90945,0.73028,1.12947,0.79599,0.93463,0.92582,0.67892,0.86593,0.86007,1.05222,0.001052,0.001052,0.001052
10,1465.04,0.89376,0.70167,1.12376,0.83912,0.90966,0.91964,0.67005,0.84226,0.721,1.04655,0.00102725,0.00102725,0.00102725
11,1611.14,0.89367,0.68705,1.10211,0.85571,0.89162,0.92903,0.65753,0.90404,0.70018,1.07379,0.0010025,0.0010025,0.0010025
12,1755.8,0.895,0.68945,1.10556,0.85669,0.84269,0.89114,0.64053,0.9378,0.81592,1.08641,0.00097775,0.00097775,0.00097775
