epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.59,3.37924,4.17972,4.20512,0.00312,0.16265,0.00294,0.00082,3.07447,4.24209,4.15522,0.000407801,0.000407801,0.000407801
2,302.08,3.29542,3.47239,3.91131,0.00345,0.1427,0.00344,0.00096,3.01652,4.42092,4.33956,0.000808144,0.000808144,0.000808144
3,452.723,3.04974,3.21346,3.61918,0.00517,0.19459,0.00374,0.00136,3.45643,842.963,27.4572,0.00119199,0.00119199,0.00119199
4,603.968,2.9454,3.02731,3.37903,0.06532,0.18948,0.03098,0.00911,3.13434,68.1637,5.62134,0.00117575,0.00117575,0.00117575
5,757.737,2.76551,2.7625,3.15477,0.06448,0.27693,0.07407,0.02544,2.81285,18.0015,3.91916,0.001151,0.001151,0.001151
6,911.441,2.73235,2.67441,3.01805,0.59848,0.13301,0.07908,0.02789,2.52363,5.6309,3.07195,0.00112625,0.00112625,0.00112625
7,1063.56,2.61728,2.57694,2.86484,0.19,0.21982,0.16216,0.06337,2.31786,2.87711,2.79156,0.0011015,0.0011015,0.0011015
8,1216.19,2.59498,2.48628,2.8273,0.1422,0.22044,0.10712,0.0442,2.32845,7.48053,2.72856,0.00107675,0.00107675,0.00107675
9,1368.02,2.4888,2.44305,2.71974,0.25121,0.3766,0.23557,0.09596,2.18155,2.48079,2.59116,0.001052,0.001052,0.001052
10,1520.84,2.4071,2.28505,2.65587,0.40202,0.3571,0.31396,0.12091,2.2217,2.40238,2.67191,0.00102725,0.00102725,0.00102725
11,1673.13,2.38408,2.17101,2.61505,0.37562,0.38732,0.32643,0.14246,2.08745,2.27883,2.50687,0.0010025,0.0010025,0.0010025
12,1824.78,2.32363,2.10615,2.52966,0.44644,0.47898,0.40979,0.19222,1.97775,2.09819,2.36086,0.00097775,0.00097775,0.00097775
13,1974.13,2.26024,2.01929,2.4854,0.35798,0.43764,0.37303,0.17094,2.01127,2.12495,2.35984,0.000953,0.000953,0.000953
