epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.0819,1.04535,2.69199,1.18779,0.43578,0.42468,0.38391,0.2901,0.96125,2.32091,1.05513,0.000407801,0.000407801,0.000407801
2,109.891,0.99833,1.57439,1.13074,0.56062,0.61411,0.53191,0.40039,0.93257,1.79916,1.03326,0.000808144,0.000808144,0.000808144
3,156.378,0.99503,1.38214,1.14648,0.7232,0.6734,0.71803,0.52304,0.887,1.41949,1.0243,0.00119199,0.00119199,0.00119199
4,202.982,0.98717,1.23237,1.12804,0.78326,0.76244,0.8279,0.5869,0.87528,1.24324,1.02928,0.00117575,0.00117575,0.00117575
5,249.255,0.93477,1.08463,1.08886,0.7905,0.80186,0.84404,0.61984,0.84926,1.19054,1.01654,0.001151,0.001151,0.001151
6,295.997,0.95823,1.05274,1.10199,0.87277,0.82606,0.89817,0.64794,0.85932,1.11621,0.9998,0.00112625,0.00112625,0.00112625
7,342.989,0.93242,1.00308,1.09237,0.83506,0.86456,0.87295,0.60577,0.83472,1.08618,0.98545,0.0011015,0.0011015,0.0011015
8,390.158,0.94594,0.98357,1.08519,0.80416,0.88169,0.90806,0.6762,0.82195,1.02719,0.98331,0.00107675,0.00107675,0.00107675
9,436.823,0.88973,0.94392,1.06508,0.83145,0.87531,0.9117,0.66625,0.82577,0.93006,0.97876,0.001052,0.001052,0.001052
10,483.723,0.88094,0.89887,1.06144,0.85421,0.87524,0.92825,0.68434,0.80859,0.91191,0.97281,0.00102725,0.00102725,0.00102725
11,530.606,0.87622,0.89615,1.05176,0.83917,0.88273,0.93113,0.68468,0.81274,0.90923,0.96606,0.0010025,0.0010025,0.0010025
12,576.837,0.86735,0.87622,1.04807,0.8628,0.8867,0.92031,0.68737,0.77163,0.88539,0.94822,0.00097775,0.00097775,0.00097775
13,623.827,0.86932,0.81657,1.05384,0.86026,0.90881,0.93691,0.68348,0.80091,0.83571,0.94428,0.000953,0.000953,0.000953
14,670.265,0.83414,0.79075,1.04988,0.85831,0.91895,0.94543,0.7012,0.81119,0.8102,0.96665,0.00092825,0.00092825,0.00092825
15,716.573,0.83394,0.76047,1.03519,0.87101,0.90023,0.9371,0.70357,0.78155,0.79159,0.96049,0.0009035,0.0009035,0.0009035
16,762.986,0.81855,0.77386,1.04182,0.89966,0.92133,0.94912,0.66284,0.79146,0.80178,0.96036,0.00087875,0.00087875,0.00087875
17,808.957,0.83863,0.76058,1.04629,0.86811,0.91676,0.94474,0.71317,0.767,0.72992,0.94202,0.000854,0.000854,0.000854
18,855.242,0.83085,0.72257,1.01914,0.8911,0.89886,0.95274,0.71635,0.75045,0.70072,0.93968,0.00082925,0.00082925,0.00082925
19,901.689,0.78342,0.70166,1.02821,0.87694,0.93399,0.95034,0.72028,0.73372,0.66282,0.9211,0.0008045,0.0008045,0.0008045
20,947.971,0.82123,0.69872,1.01551,0.9394,0.90588,0.95999,0.72844,0.73608,0.65596,0.92502,0.00077975,0.00077975,0.00077975
21,994.293,0.80988,0.69131,1.03107,0.9146,0.90069,0.95514,0.72012,0.77588,0.66283,0.94314,0.000755,0.000755,0.000755
22,1040.92,0.79279,0.67354,1.01091,0.90058,0.94153,0.96571,0.73563,0.76349,0.65576,0.93661,0.00073025,0.00073025,0.00073025
23,1086.86,0.76338,0.66691,1.01418,0.9063,0.93635,0.95565,0.72045,0.75296,0.662,0.93021,0.0007055,0.0007055,0.0007055
24,1133.15,0.7737,0.65475,1.0069,0.88662,0.92885,0.94856,0.70439,0.76702,0.66286,0.94529,0.00068075,0.00068075,0.00068075
25,1179.47,0.78328,0.64496,1.01018,0.89725,0.93399,0.956,0.71514,0.74654,0.65189,0.93212,0.000656,0.000656,0.000656
26,1225.89,0.76703,0.6197,1.00016,0.89853,0.93195,0.95882,0.73122,0.72706,0.61001,0.92201,0.00063125,0.00063125,0.00063125
27,1272.2,0.76967,0.6167,1.0011,0.90613,0.90888,0.96131,0.72234,0.73808,0.63974,0.93088,0.0006065,0.0006065,0.0006065
28,1318.71,0.75739,0.62208,1.00893,0.89654,0.91814,0.96222,0.73671,0.71573,0.5948,0.9198,0.00058175,0.00058175,0.00058175
29,1365.15,0.76264,0.60214,1.00346,0.89436,0.95091,0.96572,0.74017,0.71878,0.56885,0.9156,0.000557,0.000557,0.000557
30,1411.48,0.7275,0.60499,0.98967,0.92593,0.93401,0.96495,0.73489,0.7133,0.56836,0.92506,0.00053225,0.00053225,0.00053225
31,1458,0.74699,0.57984,0.97525,0.89489,0.92069,0.95577,0.73507,0.6889,0.5636,0.90711,0.0005075,0.0005075,0.0005075
32,1504.36,0.73997,0.58835,0.99305,0.90602,0.92063,0.95977,0.73096,0.70786,0.57099,0.91447,0.00048275,0.00048275,0.00048275
33,1550.34,0.72581,0.5618,0.98475,0.89865,0.93801,0.96401,0.75104,0.67963,0.54119,0.90123,0.000458,0.000458,0.000458
34,1596.8,0.71653,0.56483,0.99445,0.92109,0.90236,0.9607,0.74409,0.68768,0.54514,0.89887,0.00043325,0.00043325,0.00043325
35,1643.11,0.70304,0.55347,0.97885,0.88766,0.94947,0.96183,0.74652,0.68134,0.54656,0.90005,0.0004085,0.0004085,0.0004085
