epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1543,3.35082,4.30097,4.22847,0.00332,0.15629,0.00377,0.00096,3.08215,4.25654,4.15312,0.000407801,0.000407801,0.000407801
2,94.3044,3.3307,4.01193,4.09289,0.00315,0.17557,0.005,0.00163,3.07096,4.24296,4.13283,0.000808144,0.000808144,0.000808144
3,140.718,3.13958,3.52713,3.81569,0.53295,0.06073,0.0127,0.0048,2.97341,4.99386,3.98799,0.00119199,0.00119199,0.00119199
4,189.216,3.09866,3.28545,3.48256,0.02991,0.19642,0.0138,0.00577,2.93122,126.98,4.8477,0.00117575,0.00117575,0.00117575
5,237.95,2.97084,3.06093,3.29658,0.04644,0.24522,0.02468,0.00838,2.67539,51.9527,3.47131,0.001151,0.001151,0.001151
6,284.783,2.925,2.98768,3.15139,0.06124,0.29318,0.06767,0.02537,2.57652,6.62139,3.19986,0.00112625,0.00112625,0.00112625
7,331.411,2.78519,2.87468,3.01409,0.18816,0.20744,0.13418,0.05129,2.45396,3.22148,2.84575,0.0011015,0.0011015,0.0011015
8,377.825,2.77949,2.81985,2.90318,0.25934,0.25082,0.17828,0.06999,2.35981,2.82812,2.72444,0.00107675,0.00107675,0.00107675
9,424.158,2.66925,2.7349,2.81401,0.24024,0.31387,0.17019,0.07117,2.30623,3.15327,2.59957,0.001052,0.001052,0.001052
10,470.348,2.62759,2.61483,2.74349,0.26573,0.31157,0.208,0.08175,2.29449,2.65496,2.63408,0.00102725,0.00102725,0.00102725
11,516.856,2.56005,2.5331,2.66111,0.33193,0.4138,0.28879,0.12837,2.19715,2.56203,2.41432,0.0010025,0.0010025,0.0010025
12,563.171,2.49017,2.43879,2.56028,0.35982,0.38801,0.28707,0.12241,2.23142,2.60446,2.46062,0.00097775,0.00097775,0.00097775
13,609.923,2.40058,2.33179,2.51943,0.32464,0.39356,0.33835,0.13999,2.07257,2.51983,2.35954,0.000953,0.000953,0.000953
14,656.297,2.33412,2.25952,2.50041,0.38477,0.45397,0.38018,0.17356,2.00722,2.30355,2.29998,0.00092825,0.00092825,0.00092825
15,702.618,2.25273,2.17727,2.40168,0.39668,0.4661,0.41373,0.1902,1.95494,2.29834,2.23256,0.0009035,0.0009035,0.0009035
16,748.735,2.17923,2.16245,2.35068,0.39113,0.38233,0.3034,0.13516,2.0189,2.41744,2.30097,0.00087875,0.00087875,0.00087875
17,794.6,2.13302,2.07906,2.27912,0.49678,0.42597,0.43035,0.2094,1.9352,2.12777,2.17919,0.000854,0.000854,0.000854
18,840.846,2.13293,1.99249,2.23925,0.49163,0.51248,0.47589,0.24261,1.80351,2.1066,2.05909,0.00082925,0.00082925,0.00082925
19,887.199,2.03743,1.91321,2.2063,0.44634,0.45027,0.38622,0.17765,1.9699,2.23699,2.21715,0.0008045,0.0008045,0.0008045
20,933.12,2.03041,1.85542,2.12898,0.53733,0.48911,0.47122,0.24262,1.84368,1.93595,2.11034,0.00077975,0.00077975,0.00077975
21,979.362,1.95019,1.78791,2.07653,0.6267,0.55387,0.61079,0.34236,1.70621,1.76584,1.92201,0.000755,0.000755,0.000755
22,1025.76,1.94224,1.7548,2.07617,0.61418,0.55251,0.57261,0.31295,1.72579,1.67865,1.94411,0.00073025,0.00073025,0.00073025
23,1071.47,1.87613,1.75708,2.02757,0.46098,0.43225,0.45061,0.23186,1.88252,2.05975,2.21942,0.0007055,0.0007055,0.0007055
24,1117.58,1.81794,1.66902,1.9609,0.59251,0.60805,0.62733,0.33916,1.6494,1.63626,1.87253,0.00068075,0.00068075,0.00068075
25,1163.64,1.85373,1.66123,1.97775,0.71898,0.56346,0.65004,0.37029,1.56425,1.53517,1.80095,0.000656,0.000656,0.000656
26,1209.98,1.78679,1.61288,1.92193,0.63979,0.65287,0.66117,0.3846,1.55411,1.64035,1.77725,0.00063125,0.00063125,0.00063125
27,1256.14,1.76165,1.57915,1.89827,0.65705,0.63931,0.65683,0.37604,1.60772,1.53848,1.82932,0.0006065,0.0006065,0.0006065
28,1302.53,1.76257,1.58778,1.91802,0.64673,0.64911,0.66798,0.39526,1.53648,1.42458,1.75968,0.00058175,0.00058175,0.00058175
29,1348.67,1.71735,1.53828,1.88263,0.64871,0.61983,0.64477,0.37247,1.54772,1.51523,1.77332,0.000557,0.000557,0.000557
30,1394.6,1.72523,1.56088,1.8766,0.71519,0.61236,0.70757,0.42929,1.48561,1.38852,1.69671,0.00053225,0.00053225,0.00053225
31,1440.87,1.66819,1.45596,1.78353,0.83539,0.59801,0.75122,0.4671,1.41288,1.30342,1.64406,0.0005075,0.0005075,0.0005075
32,1487.06,1.65585,1.4621,1.80481,0.72719,0.66495,0.7205,0.4396,1.47317,1.40468,1.71006,0.00048275,0.00048275,0.00048275
33,1532.7,1.64522,1.44475,1.80325,0.74274,0.70906,0.7558,0.47168,1.41004,1.25505,1.64863,0.000458,0.000458,0.000458
34,1579,1.59871,1.4225,1.76714,0.7233,0.69115,0.74639,0.45273,1.42857,1.40679,1.63533,0.00043325,0.00043325,0.00043325
35,1625.1,1.55473,1.35917,1.73411,0.79908,0.70434,0.80031,0.51323,1.34426,1.18944,1.58211,0.0004085,0.0004085,0.0004085
36,1670.97,1.56451,1.34675,1.71846,0.73789,0.71015,0.78054,0.49175,1.33674,1.26628,1.58087,0.00038375,0.00038375,0.00038375
37,1716.98,1.52878,1.32891,1.70018,0.77111,0.70578,0.79047,0.50369,1.32109,1.20326,1.57154,0.000359,0.000359,0.000359
38,1762.91,1.54179,1.33178,1.69791,0.81623,0.68433,0.78742,0.50142,1.29643,1.17914,1.54185,0.00033425,0.00033425,0.00033425
39,1808.69,1.51575,1.31919,1.7005,0.83528,0.69347,0.80422,0.52541,1.3042,1.17628,1.51466,0.0003095,0.0003095,0.0003095
40,1854.83,1.50455,1.27632,1.67109,0.7987,0.73758,0.8121,0.53496,1.27143,1.14121,1.51481,0.00028475,0.00028475,0.00028475
41,1901.01,1.37298,1.33385,1.59079,0.82139,0.68804,0.804,0.51368,1.33416,1.1785,1.53355,0.00026,0.00026,0.00026
42,1946.8,1.36973,1.28643,1.58848,0.81545,0.68875,0.79294,0.50679,1.34075,1.20133,1.54994,0.00023525,0.00023525,0.00023525
43,1992.51,1.31824,1.17893,1.51901,0.77835,0.75699,0.80925,0.5272,1.26098,1.17976,1.51081,0.0002105,0.0002105,0.0002105
44,2037.96,1.29799,1.18867,1.52786,0.82431,0.76611,0.83973,0.55484,1.21007,1.0898,1.46174,0.00018575,0.00018575,0.00018575
45,2083.51,1.27252,1.13027,1.5046,0.78928,0.78947,0.84001,0.56273,1.21426,1.06235,1.44401,0.000161,0.000161,0.000161
46,2129.12,1.26672,1.13543,1.49991,0.80667,0.78276,0.8424,0.55681,1.23385,1.08643,1.46307,0.00013625,0.00013625,0.00013625
47,2174.7,1.27632,1.1379,1.50676,0.82339,0.7817,0.8485,0.56439,1.19537,1.03798,1.44596,0.0001115,0.0001115,0.0001115
48,2220.36,1.24589,1.1407,1.47731,0.86505,0.75127,0.85716,0.58068,1.15964,1.00581,1.41756,8.675e-05,8.675e-05,8.675e-05
49,2265.79,1.23002,1.12094,1.47464,0.83408,0.76212,0.85764,0.57764,1.16743,1.00563,1.42413,6.2e-05,6.2e-05,6.2e-05
50,2311.39,1.24852,1.10351,1.4768,0.82553,0.78452,0.85898,0.57985,1.17489,1.01271,1.41798,3.725e-05,3.725e-05,3.725e-05
