epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.3016,0.98843,1.59874,1.17011,0.66144,0.64486,0.69105,0.49521,0.93685,1.61727,1.05631,0.000407801,0.000407801,0.000407801
2,160.695,0.96093,1.03277,1.10895,0.77621,0.74863,0.80989,0.54935,1.04111,1.55724,1.17659,0.000808144,0.000808144,0.000808144
3,240.189,0.99143,0.92583,1.14794,0.74417,0.79162,0.84429,0.57981,0.97789,1.14658,1.10705,0.00119199,0.00119199,0.00119199
4,319.896,0.98482,0.91732,1.12081,0.78355,0.73384,0.81877,0.54884,0.94755,1.46298,1.08554,0.00117575,0.00117575,0.00117575
5,398.59,0.94537,0.83125,1.09746,0.81759,0.73878,0.83496,0.60469,0.91041,1.10485,1.04852,0.001151,0.001151,0.001151
6,478.092,0.97463,0.80999,1.11007,0.85147,0.83341,0.89644,0.62581,0.94325,0.90615,1.07086,0.00112625,0.00112625,0.00112625
7,557.589,0.90973,0.75384,1.0849,0.83943,0.87467,0.91456,0.63526,0.89062,0.72848,1.02519,0.0011015,0.0011015,0.0011015
8,637.298,0.93648,0.72217,1.07754,0.85325,0.89206,0.9234,0.671,0.85573,0.66629,0.99071,0.00107675,0.00107675,0.00107675
9,716.937,0.89276,0.72656,1.07442,0.86799,0.898,0.93171,0.67695,0.89119,0.71537,1.02713,0.001052,0.001052,0.001052
10,796.888,0.88709,0.6889,1.06566,0.84458,0.89103,0.93215,0.67635,0.86638,0.79952,1.01726,0.00102725,0.00102725,0.00102725
11,877.034,0.8744,0.67974,1.05852,0.85604,0.91155,0.94831,0.70077,0.80949,0.62122,0.97362,0.0010025,0.0010025,0.0010025
12,957.328,0.87026,0.67515,1.05748,0.86215,0.87346,0.92632,0.69299,0.83006,0.64245,0.98104,0.00097775,0.00097775,0.00097775
13,1037.84,0.87947,0.65505,1.06377,0.91381,0.89094,0.94902,0.69912,0.85013,0.62404,0.98815,0.000953,0.000953,0.000953
14,1116.68,0.83771,0.63044,1.06229,0.88685,0.90549,0.95654,0.70712,0.83444,0.60034,0.98063,0.00092825,0.00092825,0.00092825
15,1195.92,0.82833,0.59202,1.03667,0.87455,0.90461,0.93522,0.70248,0.7902,0.56063,0.96442,0.0009035,0.0009035,0.0009035
16,1274.88,0.80573,0.60861,1.03776,0.86561,0.91479,0.94625,0.70441,0.7926,0.56142,0.95658,0.00087875,0.00087875,0.00087875
17,1353.68,0.83007,0.60524,1.0417,0.87953,0.93197,0.95247,0.70455,0.80768,0.56329,0.95563,0.000854,0.000854,0.000854
18,1432.77,0.81898,0.59207,1.02228,0.89528,0.90552,0.9461,0.71879,0.79483,0.57215,0.96653,0.00082925,0.00082925,0.00082925
19,1511.85,0.79357,0.58774,1.04034,0.85905,0.91551,0.93953,0.7171,0.78508,0.57118,0.96273,0.0008045,0.0008045,0.0008045
