epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.5346,3.35273,4.21695,4.21702,0.00283,0.19725,0.00393,0.00123,3.06974,4.22684,4.14456,0.000407801,0.000407801,0.000407801
2,160.942,3.33415,3.59669,4.04082,0.00379,0.13761,0.00342,0.00097,3.1022,4.19209,4.15889,0.000808144,0.000808144,0.000808144
3,240.145,3.15303,3.28384,3.76489,0.33994,0.15936,0.03736,0.01115,2.89941,19.7769,4.046,0.00119199,0.00119199,0.00119199
4,320.73,3.00337,3.15073,3.55378,0.53846,0.03077,0.01464,0.00556,2.74186,28.6449,3.9941,0.00117575,0.00117575,0.00117575
5,400.833,2.86136,3.0007,3.3301,0.08429,0.23216,0.07228,0.02402,2.58826,13.3214,3.35813,0.001151,0.001151,0.001151
6,481.89,2.84652,2.86413,3.21833,0.12023,0.20911,0.08694,0.03172,2.48055,6.06766,2.96585,0.00112625,0.00112625,0.00112625
7,561.501,2.75462,2.75103,3.09431,0.14385,0.29747,0.1386,0.05229,2.35023,4.64852,2.77417,0.0011015,0.0011015,0.0011015
8,641.284,2.6964,2.63532,2.99536,0.18426,0.35303,0.19073,0.06991,2.29277,3.28921,2.72637,0.00107675,0.00107675,0.00107675
9,720.94,2.58469,2.60724,2.89313,0.20334,0.31095,0.15493,0.05737,2.32791,3.32601,2.69153,0.001052,0.001052,0.001052
10,800.394,2.51729,2.52413,2.8318,0.25086,0.27898,0.20007,0.07527,2.30206,2.94185,2.6549,0.00102725,0.00102725,0.00102725
11,879.854,2.46561,2.47367,2.77861,0.34345,0.33869,0.23922,0.10505,2.15012,2.48586,2.61687,0.0010025,0.0010025,0.0010025
12,959.186,2.4084,2.38743,2.72002,0.32268,0.4075,0.25759,0.11182,2.13586,2.5113,2.53658,0.00097775,0.00097775,0.00097775
13,1038.62,2.34667,2.3189,2.65545,0.28676,0.39083,0.27516,0.1095,2.15046,2.49947,2.49861,0.000953,0.000953,0.000953
14,1117.79,2.26975,2.30331,2.61693,0.33959,0.4185,0.31077,0.14344,2.06225,2.395,2.43033,0.00092825,0.00092825,0.00092825
15,1197.3,2.23038,2.21308,2.53877,0.36848,0.49389,0.35315,0.16923,1.95359,2.1976,2.29928,0.0009035,0.0009035,0.0009035
16,1276.91,2.18192,2.211,2.52274,0.21764,0.48799,0.20412,0.07243,2.24865,3.84716,2.60712,0.00087875,0.00087875,0.00087875
17,1355.77,2.15211,2.11098,2.4665,0.35453,0.49514,0.35234,0.14273,2.03284,2.34817,2.34657,0.000854,0.000854,0.000854
18,1435.02,2.13139,2.00709,2.38806,0.36582,0.47114,0.37134,0.18366,1.94605,2.16491,2.32887,0.00082925,0.00082925,0.00082925
19,1514.7,2.051,1.99096,2.35958,0.41292,0.43911,0.39129,0.18322,1.96699,2.88091,2.26278,0.0008045,0.0008045,0.0008045
20,1593.91,2.05653,1.88396,2.28487,0.53159,0.44842,0.46159,0.21096,1.85493,2.14878,2.18102,0.00077975,0.00077975,0.00077975
21,1673.78,1.98923,1.81244,2.25716,0.46004,0.47067,0.46151,0.21701,1.84203,2.06959,2.13336,0.000755,0.000755,0.000755
22,1753.81,1.95779,1.74202,2.2171,0.47215,0.54081,0.50828,0.23065,1.89842,1.88321,2.16877,0.00073025,0.00073025,0.00073025
23,1833.45,1.91114,1.737,2.2044,0.53972,0.59022,0.54082,0.2806,1.75422,1.84257,2.07436,0.0007055,0.0007055,0.0007055
24,1913.67,1.84557,1.64811,2.11887,0.61654,0.56901,0.56659,0.29729,1.76756,1.8672,2.05398,0.00068075,0.00068075,0.00068075
25,1993.88,1.84102,1.61155,2.113,0.63758,0.6223,0.68109,0.38246,1.63289,1.54849,1.93469,0.000656,0.000656,0.000656
26,2074.4,1.77638,1.54492,2.04014,0.6114,0.68471,0.66026,0.37758,1.56399,1.52215,1.896,0.00063125,0.00063125,0.00063125
27,2153.37,1.74184,1.51399,2.01689,0.62774,0.65796,0.65937,0.36789,1.65566,1.42713,1.94433,0.0006065,0.0006065,0.0006065
28,2232.65,1.7614,1.50664,2.02638,0.70824,0.70922,0.75873,0.44243,1.55487,1.32684,1.8571,0.00058175,0.00058175,0.00058175
29,2311.8,1.67102,1.42149,1.95799,0.65306,0.70055,0.70403,0.40495,1.53062,1.43959,1.83155,0.000557,0.000557,0.000557
30,2390.55,1.66754,1.45666,1.95739,0.71416,0.73689,0.79064,0.45343,1.50803,1.26939,1.80944,0.00053225,0.00053225,0.00053225
31,2470.1,1.64795,1.35944,1.88876,0.69028,0.69631,0.7442,0.43269,1.52062,1.38574,1.78461,0.0005075,0.0005075,0.0005075
32,2549.01,1.63422,1.36982,1.89592,0.79217,0.7107,0.80549,0.47678,1.4275,1.26545,1.76487,0.00048275,0.00048275,0.00048275
33,2627.8,1.57282,1.34662,1.86491,0.76077,0.71911,0.80837,0.47635,1.45495,1.23521,1.75627,0.000458,0.000458,0.000458
34,2707.05,1.56494,1.31584,1.86035,0.79071,0.7605,0.83455,0.48961,1.42909,1.16717,1.75152,0.00043325,0.00043325,0.00043325
35,2786.18,1.51076,1.2491,1.81156,0.807,0.78722,0.83604,0.51652,1.34051,1.15591,1.66773,0.0004085,0.0004085,0.0004085
36,2865.35,1.48657,1.22258,1.77454,0.82847,0.71703,0.83592,0.50435,1.39783,1.14667,1.70814,0.00038375,0.00038375,0.00038375
37,2944.51,1.49179,1.21967,1.80114,0.83504,0.73821,0.84607,0.52052,1.35328,1.12156,1.65479,0.000359,0.000359,0.000359
38,3024.26,1.51006,1.20785,1.78026,0.82559,0.75206,0.8462,0.52382,1.33225,1.11295,1.65299,0.00033425,0.00033425,0.00033425
39,3103.68,1.45233,1.19397,1.75801,0.81045,0.7532,0.85538,0.52685,1.3422,1.07239,1.66503,0.0003095,0.0003095,0.0003095
40,3183.78,1.43309,1.1708,1.73198,0.83025,0.77671,0.85283,0.51936,1.3922,1.1535,1.67676,0.00028475,0.00028475,0.00028475
41,3263.37,1.33714,1.16813,1.65592,0.83963,0.77726,0.86652,0.53768,1.27372,1.07491,1.59479,0.00026,0.00026,0.00026
42,3343.3,1.29212,1.12052,1.62976,0.81471,0.7939,0.8748,0.53943,1.27434,1.10654,1.61071,0.00023525,0.00023525,0.00023525
43,3422.28,1.23754,1.0361,1.56672,0.80943,0.79196,0.868,0.55166,1.27143,1.0422,1.62721,0.0002105,0.0002105,0.0002105
44,3500.92,1.22281,1.02661,1.57453,0.89137,0.77009,0.89085,0.56202,1.23593,0.984,1.56744,0.00018575,0.00018575,0.00018575
45,3579.48,1.20263,0.98673,1.5572,0.87542,0.80787,0.89381,0.56319,1.26087,0.96535,1.58303,0.000161,0.000161,0.000161
46,3658.28,1.18748,0.99784,1.55522,0.88034,0.82553,0.90067,0.57416,1.22417,0.97325,1.54533,0.00013625,0.00013625,0.00013625
47,3737.2,1.19593,0.99122,1.54667,0.86601,0.82765,0.90743,0.58818,1.17018,0.92631,1.51598,0.0001115,0.0001115,0.0001115
48,3816.03,1.16644,0.9906,1.52054,0.8504,0.85943,0.91076,0.58907,1.18051,0.90256,1.52615,8.675e-05,8.675e-05,8.675e-05
49,3894.6,1.14351,0.95615,1.51587,0.89693,0.83571,0.91503,0.59068,1.16494,0.88703,1.51417,6.2e-05,6.2e-05,6.2e-05
50,3973.35,1.16003,0.95295,1.50369,0.87789,0.83835,0.91165,0.59545,1.15285,0.89734,1.50563,3.725e-05,3.725e-05,3.725e-05
